StationName,Latitude,Longitude
Star Square,22.74625000,75.92285000
Haji Colony,22.7413,75.91878000
Khajrana Dargah,22.73639000,75.91452000
Zam Zam Chouraha,22.73184000,75.91324000
Khajrana Ganesh Mandir,22.73085000,75.90775000
Khajrana Ring Road 5,22.73165000,75.90239000
Chandralok,22.72962000,75.89729000
Anand Nagar,22.72809000,75.89452000
Navneet Tower,22.72543000,75.89196000
Palasiya Thana,22.72546000,75.88816000
Industry House Cross Road,22.72748000,75.88795000
Indraprastha / 56 Dukan,22.7271,75.88345000
Janjir Wala,22.72655000,75.88103000
Lanturn Chouraha,22.72451000,75.87419000
City Centre / High Court_1,22.72077000,75.8740
Regal Square,22.7201,75.87128000
Ranipura/ Kothari Market_2,22.71876000,75.86355000
Shree Krishna Talkies/ Krishnapura Pul_2,22.71931000,75.85878000
Shree Krishna Talkies/ Krishnapura Pul_1,22.71993000,75.85927000
Ranipura/ Kothari Market_1,22.71989000,75.86331000
Jawahar Tekri,22.69676000,75.78635000
Vidhyanjali School,22.69804000,75.79378000
Abhinandan Pump,22.69995000,75.79824000
Baank,22.70107000,75.80219000
Noorani Nagar,22.70389000,75.81209000
Sirpur,22.70642000,75.82118000
Chandan Nagar,18.56319000,73.93303000
Jila Hospital,22.70956000,75.83054000
Timber Market,22.71139000,75.83457000
Gangwal Bus Stand,22.71313000,75.84063000
Rajmohalla,22.71519000,75.84062000
Malganj,22.71535000,75.84527000
Narsingh Bazar,22.71563000,75.85033000
Pipli Bazar,22.71615000,75.85373000
Gurudwara,22.71626000,75.85539000
Sanjay Setu_2,22.71645000,75.86005000
Saifee Hotel,22.71611000,75.8640
Patel Bridge,22.71506000,75.87056000
Chhoti Gwaltoli,22.71586000,75.87085000
Madhu Milan,22.71397000,75.87477000
M.Y. Hospital Gate,22.71296000,75.87857000
M.Y. Std / MY Chauraha/White Church/Dental Clg,22.71262000,75.8795
Azad Nagar,22.70066000,75.88506000
Kali Puliya,22.69788000,75.89078000
Narmada Project,22.69627000,75.89328000
Musakhedi Mandi,22.69325000,75.89707000
Musakhedi,22.69285000,75.89966000
Sawariya Temple,22.69178000,75.90882000
Chandan Nagar,22.70725000,75.82426000
Hatod,22.79406000,75.74192000
Budhaniya,22.77079000,75.7649
Pitra Parvat,22.7540,75.77168000
GOMATGIRI TEMPLE,22.7457,75.77553000
Gandhi Nagar,22.73908000,75.79089000
B C School,22.73232000,75.80077000
Airport,22.72978000,75.81067000
Panchsheel,22.72894000,75.8150
Vidhyadham,22.72574000,75.82043000
Kalani Nagar,22.7248,75.82447000
Tirupati Nagar,22.72351000,75.82969000
Ramchandra Pump / APTC,22.72214000,75.8346
Badaganpati,22.72056000,75.84171000
Antim Chauraha,22.71787000,75.84091000
Rajwada,22.71842000,75.85562000
Gandhi Hall/Palika Plaza_1,22.71976000,75.86529000
Railway Station,22.71768000,75.86885000
Nehru Stadium/MY Hospital Bus Std,22.71139000,75.88066000
GPO City Bus,22.70746000,75.87884000
Navlakha Chouraha,22.69931000,75.87791000
Holkar City Bus,22.69419000,75.8705
Tantya Bheel Chouraha (Bhawarkua),22.69268000,75.86781000
Ashram Chauraha/IT Park,22.68538000,75.87344000
IET/SOPA,22.6809,75.87598000
Ranjeet Singh College,22.6792,75.87691000
Radhaswami,22.67508000,75.87926000
Limbodi/Ashram,22.66851000,75.8819
Power House_1,22.66012000,75.88457000
Machli Farm,22.6569,75.88516000
Pushpkunj,22.65269000,75.88601000
